sistema_de_condonacion,dotacion_por_tandeo,{}
tasa_de_infiltracion,captacion_de_agua_de_lluvia,{}
falta_de_cultura_conciencia,escasez_de_agua,{}
falta_de_cultura_conciencia,reutilizar_el_agua,{}
demanda_de_agua_potable,crecimiento_urbano,{}
corrupcion,clientelismo,{}
escasez_de_agua,demanda_de_agua_potable,{}
escasez_de_agua,abastecimiento_de_agua,{}
escasez_de_agua,estiaje,{}
dotacion_por_tandeo,abastecimiento_de_agua,{}
movilizaciones,escasez_de_agua,{}
movilizaciones,calidad_de_agua,{}
compra_de_garrafones,dotacion_por_tandeo,{}
compra_de_garrafones,calidad_de_agua,{}
grietas,extraccion_de_agua_del_subsuelo_pozos,{}
abastecimiento_de_agua,recursos_financieros,{}
captacion_de_agua_de_lluvia,falta_de_cultura_conciencia,{}
captacion_de_agua_de_lluvia,dotacion_por_tandeo,{}
desperdicio_de_agua,falta_de_cultura_conciencia,{}
capacidad_para_almacenar_agua,dotacion_por_tandeo,{}
inundaciones,inundaciones,{}
inundaciones,mantenimiento_de_plantas_de_tratamiento,{}
inundaciones,infraestructura_ineficiente,{}
inundaciones,escurrimiento,{}
inundaciones,lluvias,{}
inundaciones,obstruccion_de_alcantarillado,{}
consumo_de_agua_en_vivienda,recursos_financieros,{}
dotacion_por_pipas,escasez_de_agua,{}
dotacion_por_pipas,presion_a_la_delegacion_peticion_reclamo,{}
dotacion_por_pipas,clientelismo,{}
calidad_de_agua,falta_de_mantenimiento_de_la_infraestructura,{}
calidad_de_agua,contaminacion_cruzada,{}
calidad_de_agua,tasa_de_infiltracion,{}
clientelismo,clientelismo,{}
clientelismo,dotacion_por_pipas,{}
politicas_de_desarrollo_social,corrupcion,{}
politicas_de_desarrollo_social,politicas_de_desarrollo_social,{}
reutilizar_el_agua,falta_de_cultura_conciencia,{}
reutilizar_el_agua,dotacion_por_tandeo,{}
contaminacion_cruzada,infraestructura_ineficiente,{}
infraestructura_ineficiente,obstruccion_de_alcantarillado,{}
crecimiento_urbano,asentamientos_humanos_irregulares_y_regulares,{}
extraccion_de_agua_del_subsuelo_pozos,demanda_de_agua_potable,{}
problemas_de_movilidad_sistema_de_transporte,inundaciones,{}
bien_negociable,clientelismo,{}
